text,category,department,category_code,org_code,urgency,urgency_score
"ppo number not updated, pension pending, repeatedly following up my elderly parent is suffering",Pension,Pension,6281,DEAPR,Medium,28
request for status of my police clearance certificate senior citizen with no other support,Home Affairs,Home Affairs,4742,MINHA,Low,19
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,27
"employer not paying wages for 8 months, family suffering please help immediately",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,28
my monthly income scheme interest not credited since 8 months there is a medical emergency,Posts,Posts,61,DPOST,Medium,35
"child harassment reported at centre, immediate action needed",Women and Child Development,Women and Child Development,5410,DOWCD,High,53
"my father's pension has been stopped since 2 months, he is a senior citizen",Pension,Pension,6281,DEAPR,High,57
"street lights not working on the highway, danger at night this is urgent",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,30
no network coverage in my area for 18 days despite repeated complaints i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Low,24
"harassment at workplace, no action taken despite complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,29
"sewage overflow on the road for 7 days, health hazard",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,20
"toll charged despite pass, request refund",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,2
"call drops happening continuously, unable to make emergency calls i have complained repeatedly and it is still unresolved",Telecommunications,Telecommunications,1,DOTEL,Medium,35
request for transfer certificate pending since 4 months,School Education,School Education,398,DOSEL,Low,18
request for transfer certificate pending since 3 months senior citizen with no other support,School Education,School Education,398,DOSEL,Medium,38
"family pension denied after my husband's death, i am a widow please help immediately",Pension,Pension,6281,DEAPR,High,53
"fraud transaction on my account, money stolen, please help urgently senior citizen with no other support",Banking,Banking,251,DEABD,High,59
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
"unsafe conditions at the platform, no security at night my elderly parent is suffering",Railway,Railway,2565,MORLY,Medium,35
"fraud transaction on my account, money stolen, please help urgently",Banking,Banking,251,DEABD,Medium,42
"pension not credited for 1 months, elderly and no other income no response despite repeated complaints",Pension,Pension,6281,DEAPR,Medium,38
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
suggestion to open more counters at the local post office my elderly parent is suffering,Posts,Posts,61,DPOST,Low,23
"no water in the coach during long journey, elderly passengers suffering my elderly parent is suffering",Railway,Railway,2565,MORLY,Low,24
"speed post delivery delayed by 13 days, urgent documents inside",Posts,Posts,61,DPOST,Medium,32
"safety concern in my locality, no police response, danger senior citizen with no other support",Home Affairs,Home Affairs,4742,MINHA,High,46
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
"no doctor available at the primary health centre for 6 days, medical emergency no response despite repeated complaints",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,35
suggestion to open more counters at the local post office my elderly parent is suffering,Posts,Posts,61,DPOST,Medium,26
request for update on my esi claim,Labour and Employment,Labour and Employment,2173,MOLBR,Low,2
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"ambulance did not arrive on time, elderly patient in danger",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,38
"driving licence renewal pending for 3 months, no response",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,26
"safety concern in my locality, no police response, danger my elderly parent is suffering",Home Affairs,Home Affairs,4742,MINHA,High,53
"ambulance did not arrive on time, elderly patient in danger senior citizen with no other support",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,40
broadband speed is far lower than the plan i am paying for my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Low,24
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
"school building unsafe, roof leaking, children at risk situation is unsafe and dangerous",School Education,School Education,398,DOSEL,Medium,41
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"money order not delivered to my elderly mother, she is waiting",Posts,Posts,61,DPOST,Low,24
"hospital demanded bribe for admitting my child, this is corruption my elderly parent is suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,65
request for information about train schedule changes,Railway,Railway,2565,MORLY,Low,7
mgnrega wages not paid for 5 months to labourers in our village no response despite repeated complaints,Rural Development,Rural Development,4976,DORLD,Medium,27
no network coverage in my area for 5 days despite repeated complaints i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Low,23
anganwadi not providing nutrition to children for 17 days,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,28
request for status of my police clearance certificate this is urgent,Home Affairs,Home Affairs,4742,MINHA,Low,13
wrongly charged extra amount on my mobile bill this month my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Medium,32
anganwadi not providing nutrition to children for 17 days,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,36
wrongly charged extra amount on my mobile bill this month my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Low,24
anganwadi not providing nutrition to children for 11 days situation is unsafe and dangerous,Women and Child Development,Women and Child Development,5410,DOWCD,High,45
"my provident fund withdrawal pending for 10 months, need it urgently",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,27
requesting information about porting my number to another operator there is a medical emergency,Telecommunications,Telecommunications,1,DOTEL,Low,22
"amount debited from my account but transaction failed, 2 months no refund i have complained repeatedly and it is still unresolved",Banking,Banking,251,DEABD,Medium,32
my registered parcel has been stuck in transit for 5 days no response despite repeated complaints,Posts,Posts,61,DPOST,Low,15
my landline has been dead for 19 days and no technician has come senior citizen with no other support,Telecommunications,Telecommunications,1,DOTEL,Medium,37
request for status of my police clearance certificate please help immediately,Home Affairs,Home Affairs,4742,MINHA,Low,10
"toll charged despite pass, request refund my elderly parent is suffering",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,26
request for information about child care schemes,Women and Child Development,Women and Child Development,5410,DOWCD,Low,18
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
request for information about filing revised return,Income Tax,Income Tax,4414,CBODT,Low,10
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
request for status of my police clearance certificate senior citizen with no other support,Home Affairs,Home Affairs,4742,MINHA,Low,22
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"child harassment reported at centre, immediate action needed situation is unsafe and dangerous",Women and Child Development,Women and Child Development,5410,DOWCD,High,63
"no doctor available at the primary health centre for 12 days, medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,37
"workplace safety violations, unsafe conditions, workers in danger",Labour and Employment,Labour and Employment,2173,MOLBR,High,45
request for information about filing revised return this is urgent,Income Tax,Income Tax,4414,CBODT,Low,15
request for information about train schedule changes my elderly parent is suffering,Railway,Railway,2565,MORLY,Low,23
mid day meal not provided for 13 days at the government school there is a medical emergency,School Education,School Education,398,DOSEL,Medium,34
"purchased defective product, seller refusing refund for 8 months",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,23
mid day meal not provided for 13 days at the government school this is urgent,School Education,School Education,398,DOSEL,Medium,25
"sewage overflow on the road for 20 days, health hazard",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,20
"false advertisement, product not as described, fraud my elderly parent is suffering",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,44
"harassment at workplace, no action taken despite complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,37
"amount debited from my account but transaction failed, 3 months no refund please help immediately",Banking,Banking,251,DEABD,Low,23
"overcharged above mrp, shopkeeper cheated me my elderly parent is suffering",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,30
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
broadband speed is far lower than the plan i am paying for,Telecommunications,Telecommunications,1,DOTEL,Low,8
my monthly income scheme interest not credited since 8 months i have complained repeatedly and it is still unresolved,Posts,Posts,61,DPOST,Medium,32
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"call drops happening continuously, unable to make emergency calls",Telecommunications,Telecommunications,1,DOTEL,Low,23
"amount debited from my account but transaction failed, 2 months no refund situation is unsafe and dangerous",Banking,Banking,251,DEABD,Medium,32
my registered parcel has been stuck in transit for 3 days my elderly parent is suffering,Posts,Posts,61,DPOST,Low,24
"job card application pending, repeatedly visiting the office no response despite repeated complaints",Rural Development,Rural Development,4976,DORLD,Medium,28
"medicines out of stock at government hospital, patient suffering my elderly parent is suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,34
"school building unsafe, roof leaking, children at risk my elderly parent is suffering",School Education,School Education,398,DOSEL,Medium,38
"domestic violence case, need urgent help, unsafe at home",Women and Child Development,Women and Child Development,5410,DOWCD,Medium,27
"maternity benefit not received, pregnant and no support",Women and Child Development,Women and Child Development,5410,DOWCD,Medium,42
"family pension denied after my husband's death, i am a widow this is urgent",Pension,Pension,6281,DEAPR,High,56
suggestion to open more counters at the local post office this is urgent,Posts,Posts,61,DPOST,Low,10
"wrong tax demand raised, no response to my grievance my elderly parent is suffering",Income Tax,Income Tax,4414,CBODT,Medium,31
"call drops happening continuously, unable to make emergency calls my elderly parent is suffering",Telecommunications,Telecommunications,1,DOTEL,Medium,34
tds credit not reflecting in my account senior citizen with no other support,Income Tax,Income Tax,4414,CBODT,Medium,28
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
my monthly income scheme interest not credited since 7 months,Posts,Posts,61,DPOST,Low,18
request for information about property tax payment my elderly parent is suffering,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,23
"workplace safety violations, unsafe conditions, workers in danger situation is unsafe and dangerous",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,37
"loan emi wrongly deducted twice, bank not responding",Banking,Banking,251,DEABD,Low,13
"false advertisement, product not as described, fraud there is a medical emergency",Consumer Affairs,Consumer Affairs,5409,DOCAF,High,53
broadband speed is far lower than the plan i am paying for,Telecommunications,Telecommunications,1,DOTEL,Low,8
request for information about filing revised return,Income Tax,Income Tax,4414,CBODT,Low,2
"medicines out of stock at government hospital, patient suffering please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,36
"water scheme funds misused, corruption suspected there is a medical emergency",Rural Development,Rural Development,4976,DORLD,Medium,44
request for information about child care schemes situation is unsafe and dangerous,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,40
"workplace safety violations, unsafe conditions, workers in danger i have complained repeatedly and it is still unresolved",Labour and Employment,Labour and Employment,2173,MOLBR,High,49
"workplace safety violations, unsafe conditions, workers in danger please help immediately",Labour and Employment,Labour and Employment,2173,MOLBR,High,48
"toll charged despite pass, request refund this is urgent",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,15
request for transfer certificate pending since 7 months no response despite repeated complaints,School Education,School Education,398,DOSEL,Low,20
"pension not credited for 6 months, elderly and no other income",Pension,Pension,6281,DEAPR,Medium,36
"domestic violence case, need urgent help, unsafe at home",Women and Child Development,Women and Child Development,5410,DOWCD,Low,24
"no doctor available at the primary health centre for 16 days, medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,32
"job card application pending, repeatedly visiting the office",Rural Development,Rural Development,4976,DORLD,Low,18
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
train ticket refund not processed for 2 months despite cancellation,Railway,Railway,2565,MORLY,Low,15
"speed post delivery delayed by 10 days, urgent documents inside my elderly parent is suffering",Posts,Posts,61,DPOST,Medium,40
request for status of my vehicle registration please help immediately,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,10
"toll charged despite pass, request refund there is a medical emergency",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,19
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
request for information about train schedule changes situation is unsafe and dangerous,Railway,Railway,2565,MORLY,Medium,27
mid day meal not provided for 19 days at the government school,School Education,School Education,398,DOSEL,Low,12
"toll charged despite pass, request refund situation is unsafe and dangerous",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,19
"fraud transaction on my account, money stolen, please help urgently",Banking,Banking,251,DEABD,Medium,42
"ppo number not updated, pension pending, repeatedly following up",Pension,Pension,6281,DEAPR,Low,12
my landline has been dead for 4 days and no technician has come,Telecommunications,Telecommunications,1,DOTEL,Low,11
request to update my kyc details in the account i have complained repeatedly and it is still unresolved,Banking,Banking,251,DEABD,Low,19
"my provident fund withdrawal pending for 4 months, need it urgently i have complained repeatedly and it is still unresolved",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,39
atm did not dispense cash but my account was debited,Banking,Banking,251,DEABD,Low,8
"harassment at workplace, no action taken despite complaints my elderly parent is suffering",Labour and Employment,Labour and Employment,2173,MOLBR,High,53
my monthly income scheme interest not credited since 4 months my elderly parent is suffering,Posts,Posts,61,DPOST,Medium,31
mid day meal not provided for 12 days at the government school situation is unsafe and dangerous,School Education,School Education,398,DOSEL,Medium,29
"no water in the coach during long journey, elderly passengers suffering",Railway,Railway,2565,MORLY,Low,24
"medicines out of stock at government hospital, patient suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,30
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"workplace safety violations, unsafe conditions, workers in danger my elderly parent is suffering",Labour and Employment,Labour and Employment,2173,MOLBR,High,53
requesting information about porting my number to another operator,Telecommunications,Telecommunications,1,DOTEL,Low,10
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,35
rural road construction incomplete for 5 months,Rural Development,Rural Development,4976,DORLD,Low,15
"harassment at workplace, no action taken despite complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,29
"sewage and no water for 15 days, children falling sick, health emergency, unsafe, no response repeatedly",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,60
"speed post delivery delayed by 17 days, urgent documents inside",Posts,Posts,61,DPOST,Low,24
"money order not delivered to my elderly mother, she is waiting",Posts,Posts,61,DPOST,Medium,27
"medicines out of stock at government hospital, patient suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,33
"loan emi wrongly deducted twice, bank not responding",Banking,Banking,251,DEABD,Low,8
"my provident fund withdrawal pending for 1 months, need it urgently",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,30
requesting information about porting my number to another operator senior citizen with no other support,Telecommunications,Telecommunications,1,DOTEL,Low,19
"harassment at workplace, no action taken despite complaints no response despite repeated complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,44
my landline has been dead for 10 days and no technician has come,Telecommunications,Telecommunications,1,DOTEL,Low,12
"no water supply in our locality for 8 days, children falling sick please help immediately",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,36
"fraud transaction on my account, money stolen, please help urgently",Banking,Banking,251,DEABD,High,47
"harassment at workplace, no action taken despite complaints this is urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,45
"hospital demanded bribe for admitting my child, this is corruption this is urgent",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,60
request for information about property tax payment this is urgent,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,10
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
request for information about property tax payment my elderly parent is suffering,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,23
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"loan emi wrongly deducted twice, bank not responding",Banking,Banking,251,DEABD,Low,16
"child harassment reported at centre, immediate action needed",Women and Child Development,Women and Child Development,5410,DOWCD,High,45
"threat to my family, urgent protection needed please help immediately",Home Affairs,Home Affairs,4742,MINHA,High,45
requesting information about porting my number to another operator this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,15
request for status of my vehicle registration i have complained repeatedly and it is still unresolved,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,14
"fir not registered despite repeated visits, harassment i have complained repeatedly and it is still unresolved",Home Affairs,Home Affairs,4742,MINHA,Medium,41
"overcharged above mrp, shopkeeper cheated me this is urgent",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,22
request for information about filing a consumer complaint,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,10
tds credit not reflecting in my account i have complained repeatedly and it is still unresolved,Income Tax,Income Tax,4414,CBODT,Medium,28
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"sewage and no water for 15 days, children falling sick, health emergency, unsafe, no response repeatedly",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,60
"water scheme funds misused, corruption suspected i have complained repeatedly and it is still unresolved",Rural Development,Rural Development,4976,DORLD,Medium,39
income tax refund pending for 4 months despite filing i have complained repeatedly and it is still unresolved,Income Tax,Income Tax,4414,CBODT,Medium,39
request to update my kyc details in the account my elderly parent is suffering,Banking,Banking,251,DEABD,Low,18
"toll charged despite pass, request refund",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,2
"driving licence renewal pending for 3 months, no response no response despite repeated complaints",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,26
request for status update on my pension revision application,Pension,Pension,6281,DEAPR,Low,10
"false advertisement, product not as described, fraud",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,31
"sewage overflow on the road for 4 days, health hazard situation is unsafe and dangerous",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,30
train ticket refund not processed for 6 months despite cancellation,Railway,Railway,2565,MORLY,Low,15
"ppo number not updated, pension pending, repeatedly following up please help immediately",Pension,Pension,6281,DEAPR,Low,23
request for information about the housing scheme eligibility there is a medical emergency,Rural Development,Rural Development,4976,DORLD,Low,19
"job card application pending, repeatedly visiting the office there is a medical emergency",Rural Development,Rural Development,4976,DORLD,Medium,43
atm did not dispense cash but my account was debited my elderly parent is suffering,Banking,Banking,251,DEABD,Low,24
"ambulance did not arrive on time, elderly patient in danger",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,33
"fraud transaction on my account, money stolen, please help urgently senior citizen with no other support",Banking,Banking,251,DEABD,High,64
"driving licence renewal pending for 9 months, no response",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,26
"medicines out of stock at government hospital, patient suffering my elderly parent is suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,39
"maternity benefit not received, pregnant and no support",Women and Child Development,Women and Child Development,5410,DOWCD,High,50
"amount debited from my account but transaction failed, 9 months no refund",Banking,Banking,251,DEABD,Low,18
request for status update on my pension revision application situation is unsafe and dangerous,Pension,Pension,6281,DEAPR,Low,24
"domestic violence case, need urgent help, unsafe at home",Women and Child Development,Women and Child Development,5410,DOWCD,Medium,27
"speed post delivery delayed by 11 days, urgent documents inside no response despite repeated complaints",Posts,Posts,61,DPOST,Medium,31
"child harassment reported at centre, immediate action needed my elderly parent is suffering",Women and Child Development,Women and Child Development,5410,DOWCD,High,51
anganwadi not providing nutrition to children for 12 days there is a medical emergency,Women and Child Development,Women and Child Development,5410,DOWCD,High,45
my landline has been dead for 11 days and no technician has come,Telecommunications,Telecommunications,1,DOTEL,Low,12
request for status of my vehicle registration situation is unsafe and dangerous,Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,27
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
"illegal construction next door, complained repeatedly no action",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,26
request for information about child care schemes this is urgent,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,29
request for information about filing a consumer complaint please help immediately,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,10
request for information about the housing scheme eligibility,Rural Development,Rural Development,4976,DORLD,Low,7
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
no network coverage in my area for 15 days despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,15
"driving licence renewal pending for 9 months, no response senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,High,48
"unsafe conditions at the platform, no security at night situation is unsafe and dangerous",Railway,Railway,2565,MORLY,Medium,25
"pension not credited for 6 months, elderly and no other income my elderly parent is suffering",Pension,Pension,6281,DEAPR,Medium,39
"ppo number not updated, pension pending, repeatedly following up my elderly parent is suffering",Pension,Pension,6281,DEAPR,Medium,28
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"my father's pension has been stopped since 3 months, he is a senior citizen there is a medical emergency",Pension,Pension,6281,DEAPR,High,66
"safety concern in my locality, no police response, danger no response despite repeated complaints",Home Affairs,Home Affairs,4742,MINHA,Medium,36
"loan emi wrongly deducted twice, bank not responding please help immediately",Banking,Banking,251,DEABD,Low,16
"call drops happening continuously, unable to make emergency calls i have complained repeatedly and it is still unresolved",Telecommunications,Telecommunications,1,DOTEL,Medium,38
"call drops happening continuously, unable to make emergency calls i have complained repeatedly and it is still unresolved",Telecommunications,Telecommunications,1,DOTEL,Medium,30
broadband speed is far lower than the plan i am paying for there is a medical emergency,Telecommunications,Telecommunications,1,DOTEL,Medium,25
"wrong tax demand raised, no response to my grievance there is a medical emergency",Income Tax,Income Tax,4414,CBODT,Medium,32
"pension not credited for 3 months, elderly and no other income no response despite repeated complaints",Pension,Pension,6281,DEAPR,Medium,38
"unsafe conditions at the platform, no security at night please help immediately",Railway,Railway,2565,MORLY,Low,24
passport verification pending with police for 10 months i have complained repeatedly and it is still unresolved,Home Affairs,Home Affairs,4742,MINHA,Medium,31
"school building unsafe, roof leaking, children at risk no response despite repeated complaints",School Education,School Education,398,DOSEL,High,47
no network coverage in my area for 19 days despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,20
"no water supply in our locality for 3 days, children falling sick this is urgent",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,32
"teacher shortage in the school, no classes happening",School Education,School Education,398,DOSEL,Low,13
request for update on my esi claim,Labour and Employment,Labour and Employment,2173,MOLBR,Low,2
"illegal construction next door, complained repeatedly no action my elderly parent is suffering",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,45
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
request for information about filing revised return situation is unsafe and dangerous,Income Tax,Income Tax,4414,CBODT,Low,19
"school building unsafe, roof leaking, children at risk",School Education,School Education,398,DOSEL,Medium,35
"no water in the coach during long journey, elderly passengers suffering",Railway,Railway,2565,MORLY,Low,24
requesting information about porting my number to another operator no response despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,12
"illegal construction next door, complained repeatedly no action i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,37
my monthly income scheme interest not credited since 8 months senior citizen with no other support,Posts,Posts,61,DPOST,Medium,37
"repeatedly following up on refund, no action taken senior citizen with no other support",Income Tax,Income Tax,4414,CBODT,Medium,31
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
